,region,Year,Month number,Alcohol involvement,DV involvement,Total_population,Aboriginal,Non-Aboriginal,Male,Female,Pop_age_0,Pop_age_10,Pop_age_15,Pop_age_20,Pop_age_25,Pop_age_30,Pop_age_35,Pop_age_40,Pop_age_45,Pop_age_5,Pop_age_50,Pop_age_55,Pop_age_60,Pop_age_65,Pop_age_70,Pop_age_75,Pop_age_80,Pop_age_85plus,Cask Wine PAC,Bottled Wine PAC,Fortified Wine PAC,Cider PAC,Standard Spirits PAC,Mixed Spirits PAC,Full-Strength Beer PAC,Mid-Strength Beer PAC,Low-Strength Beer PAC,Total PAC,Number of offences,assault_rate,sin_month,cos_month,pct_aboriginal,pct_male,pct_youth,pct_senior,alcohol_per_capita,full-strength_beer_pac_per_capita,mid-strength_beer_pac_per_capita,low-strength_beer_pac_per_capita,cask_wine_pac_per_capita,bottled_wine_pac_per_capita,fortified_wine_pac_per_capita,beer_per_capita,wine_per_capita,assault_rate_lag1,assault_rate_lag3
113,Greater Darwin,2025,6,6,5,158054,20577,137477,82499,75555,10116,9985,8539,10467,14274,15472,14062,12169,10075,10196,9384,8646,7421,5988,4802,3503,1738,1217,8706,49047,1582,7541,63141,31359,79637,57761,1935,300710,1219,7.712553937261948,1.2246467991473532e-16,-1.0,0.13018968200741518,0.5219671757753679,0.12025004112518506,0.1091272603034406,1.9025776000607388,0.5038594404444051,0.36545104837587156,0.01224265124577676,0.055082440178673114,0.3103179925848128,0.01000923734926038,0.8815531400660533,0.3754096701127463,8.161767497184506,7.801131258936819
114,Greater Darwin,2025,7,6,5,158054,20577,137477,82499,75555,10116,9985,8539,10467,14274,15472,14062,12169,10075,10196,9384,8646,7421,5988,4802,3503,1738,1217,7442,61966,1446,9119,77654,38319,97072,66450,2341,361809,1075,6.801472914320422,-0.4999999999999997,-0.8660254037844388,0.13018968200741518,0.5219671757753679,0.12025004112518506,0.1091272603034406,2.2891480127045187,0.61416984068736,0.4204259303782252,0.014811393574348007,0.047085173421741934,0.39205587963607375,0.009148771938704493,1.0494071646399332,0.4482898249965202,7.712553937261948,7.541726245460412
115,Greater Darwin,2025,8,6,6,158054,20577,137477,82499,75555,10116,9985,8539,10467,14274,15472,14062,12169,10075,10196,9384,8646,7421,5988,4802,3503,1738,1217,7442,61966,1446,9119,77654,38319,97072,66450,2341,361809,985,6.2320472749819675,-0.8660254037844385,-0.5000000000000004,0.13018968200741518,0.5219671757753679,0.12025004112518506,0.1091272603034406,2.2891480127045187,0.61416984068736,0.4204259303782252,0.014811393574348007,0.047085173421741934,0.39205587963607375,0.009148771938704493,1.0494071646399332,0.4482898249965202,6.801472914320422,8.161767497184506
116,Greater Darwin,2025,9,6,5,158054,20577,137477,82499,75555,10116,9985,8539,10467,14274,15472,14062,12169,10075,10196,9384,8646,7421,5988,4802,3503,1738,1217,7442,61966,1446,9119,77654,38319,97072,66450,2341,361809,1065,6.738203398838372,-1.0,-1.8369701987210297e-16,0.13018968200741518,0.5219671757753679,0.12025004112518506,0.1091272603034406,2.2891480127045187,0.61416984068736,0.4204259303782252,0.014811393574348007,0.047085173421741934,0.39205587963607375,0.009148771938704493,1.0494071646399332,0.4482898249965202,6.2320472749819675,7.712553937261948
117,Greater Darwin,2025,10,6,5,158054,20577,137477,82499,75555,10116,9985,8539,10467,14274,15472,14062,12169,10075,10196,9384,8646,7421,5988,4802,3503,1738,1217,6730,48108,1427,7869,74190,34359,79527,57662,2084,311956,1041,6.58635656168145,-0.8660254037844386,0.5000000000000001,0.13018968200741518,0.5219671757753679,0.12025004112518506,0.1091272603034406,1.9737304971718526,0.5031634757741025,0.3648246801725992,0.013185367026459312,0.04258038391941994,0.30437698508104827,0.009028559859288597,0.8811735229731611,0.3559859288597568,6.738203398838372,6.801472914320422
118,Greater Darwin,2025,11,6,5,158054,20577,137477,82499,75555,10116,9985,8539,10467,14274,15472,14062,12169,10075,10196,9384,8646,7421,5988,4802,3503,1738,1217,6730,48108,1427,7869,74190,34359,79527,57662,2084,311956,963,6.092854340921457,-0.5000000000000004,0.8660254037844384,0.13018968200741518,0.5219671757753679,0.12025004112518506,0.1091272603034406,1.9737304971718526,0.5031634757741025,0.3648246801725992,0.013185367026459312,0.04258038391941994,0.30437698508104827,0.009028559859288597,0.8811735229731611,0.3559859288597568,6.58635656168145,6.2320472749819675
119,Greater Darwin,2025,12,6,6,158054,20577,137477,82499,75555,10116,9985,8539,10467,14274,15472,14062,12169,10075,10196,9384,8646,7421,5988,4802,3503,1738,1217,6730,48108,1427,7869,74190,34359,79527,57662,2084,311956,1107,7.0039353638629835,-2.4492935982947064e-16,1.0,0.13018968200741518,0.5219671757753679,0.12025004112518506,0.1091272603034406,1.9737304971718526,0.5031634757741025,0.3648246801725992,0.013185367026459312,0.04258038391941994,0.30437698508104827,0.009028559859288597,0.8811735229731611,0.3559859288597568,6.092854340921457,6.738203398838372
120,Top End,2024,1,2,3,18248,13424,4824,9335,8913,1111,1489,1526,1443,1657,1511,1387,1205,1071,1450,1166,949,841,678,420,229,95,20,1120,8556,210,3061,16346,12281,27191,31586,1092,101443,236,12.932924156071898,0.49999999999999994,0.8660254037844387,0.7356422621657168,0.5115629110039457,0.16270276194651467,0.0790223586146427,5.55912976764577,1.4900811047786058,1.7309294169224025,0.059842174484875055,0.06137658921525647,0.46887330118369136,0.011508110477860588,3.2808526961858835,0.5417580008768084,,
121,Top End,2024,2,3,3,18248,13424,4824,9335,8913,1111,1489,1526,1443,1657,1511,1387,1205,1071,1450,1166,949,841,678,420,229,95,20,1120,8556,210,3061,16346,12281,27191,31586,1092,101443,220,12.05611573871109,0.8660254037844386,0.5000000000000001,0.7356422621657168,0.5115629110039457,0.16270276194651467,0.0790223586146427,5.55912976764577,1.4900811047786058,1.7309294169224025,0.059842174484875055,0.06137658921525647,0.46887330118369136,0.011508110477860588,3.2808526961858835,0.5417580008768084,12.932924156071898,
122,Top End,2024,3,4,4,18248,13424,4824,9335,8913,1111,1489,1526,1443,1657,1511,1387,1205,1071,1450,1166,949,841,678,420,229,95,20,1120,8556,210,3061,16346,12281,27191,31586,1092,101443,171,9.37088996054362,1.0,6.123233995736766e-17,0.7356422621657168,0.5115629110039457,0.16270276194651467,0.0790223586146427,5.55912976764577,1.4900811047786058,1.7309294169224025,0.059842174484875055,0.06137658921525647,0.46887330118369136,0.011508110477860588,3.2808526961858835,0.5417580008768084,12.05611573871109,
123,Top End,2024,4,4,4,18248,13424,4824,9335,8913,1111,1489,1526,1443,1657,1511,1387,1205,1071,1450,1166,949,841,678,420,229,95,20,1293,12676,287,3826,21221,16656,36105,42295,1195,135555,206,11.288908373520385,0.8660254037844387,-0.4999999999999998,0.7356422621657168,0.5115629110039457,0.16270276194651467,0.0790223586146427,7.428485313459009,1.9785729943007453,2.317788250767207,0.06548662867163525,0.07085708022797019,0.6946514686540991,0.01572775098640947,4.361847873739588,0.7812362998684788,9.37088996054362,12.932924156071898
124,Top End,2024,5,4,4,18248,13424,4824,9335,8913,1111,1489,1526,1443,1657,1511,1387,1205,1071,1450,1166,949,841,678,420,229,95,20,1293,12676,287,3826,21221,16656,36105,42295,1195,135555,219,12.001315212626041,0.49999999999999994,-0.8660254037844387,0.7356422621657168,0.5115629110039457,0.16270276194651467,0.0790223586146427,7.428485313459009,1.9785729943007453,2.317788250767207,0.06548662867163525,0.07085708022797019,0.6946514686540991,0.01572775098640947,4.361847873739588,0.7812362998684788,11.288908373520385,12.05611573871109
125,Top End,2024,6,3,5,18248,13424,4824,9335,8913,1111,1489,1526,1443,1657,1511,1387,1205,1071,1450,1166,949,841,678,420,229,95,20,1293,12676,287,3826,21221,16656,36105,42295,1195,135555,219,12.001315212626041,1.2246467991473532e-16,-1.0,0.7356422621657168,0.5115629110039457,0.16270276194651467,0.0790223586146427,7.428485313459009,1.9785729943007453,2.317788250767207,0.06548662867163525,0.07085708022797019,0.6946514686540991,0.01572775098640947,4.361847873739588,0.7812362998684788,12.001315212626041,9.37088996054362
126,Top End,2024,7,5,4,18248,13424,4824,9335,8913,1111,1489,1526,1443,1657,1511,1387,1205,1071,1450,1166,949,841,678,420,229,95,20,1639,14986,436,4177,24562,19855,39286,49816,1444,156201,210,11.508110477860589,-0.4999999999999997,-0.8660254037844388,0.7356422621657168,0.5115629110039457,0.16270276194651467,0.0790223586146427,8.55989697501096,2.152893467777291,2.7299430074528717,0.0791319596668128,0.08981806225339763,0.8212406839105656,0.02389302937308198,4.961968434896975,0.9349517755370451,12.001315212626041,11.288908373520385
127,Top End,2024,8,6,5,18248,13424,4824,9335,8913,1111,1489,1526,1443,1657,1511,1387,1205,1071,1450,1166,949,841,678,420,229,95,20,1639,14986,436,4177,24562,19855,39286,49816,1444,156201,210,11.508110477860589,-0.8660254037844385,-0.5000000000000004,0.7356422621657168,0.5115629110039457,0.16270276194651467,0.0790223586146427,8.55989697501096,2.152893467777291,2.7299430074528717,0.0791319596668128,0.08981806225339763,0.8212406839105656,0.02389302937308198,4.961968434896975,0.9349517755370451,11.508110477860589,12.001315212626041
128,Top End,2024,9,4,4,18248,13424,4824,9335,8913,1111,1489,1526,1443,1657,1511,1387,1205,1071,1450,1166,949,841,678,420,229,95,20,1639,14986,436,4177,24562,19855,39286,49816,1444,156201,268,14.68654099079351,-1.0,-1.8369701987210297e-16,0.7356422621657168,0.5115629110039457,0.16270276194651467,0.0790223586146427,8.55989697501096,2.152893467777291,2.7299430074528717,0.0791319596668128,0.08981806225339763,0.8212406839105656,0.02389302937308198,4.961968434896975,0.9349517755370451,11.508110477860589,12.001315212626041
