,region,Year,Month number,Alcohol involvement,DV involvement,Total_population,Aboriginal,Non-Aboriginal,Male,Female,Pop_age_0,Pop_age_10,Pop_age_15,Pop_age_20,Pop_age_25,Pop_age_30,Pop_age_35,Pop_age_40,Pop_age_45,Pop_age_5,Pop_age_50,Pop_age_55,Pop_age_60,Pop_age_65,Pop_age_70,Pop_age_75,Pop_age_80,Pop_age_85plus,Cask Wine PAC,Bottled Wine PAC,Fortified Wine PAC,Cider PAC,Standard Spirits PAC,Mixed Spirits PAC,Full-Strength Beer PAC,Mid-Strength Beer PAC,Low-Strength Beer PAC,Total PAC,Number of offences,assault_rate,sin_month,cos_month,pct_aboriginal,pct_male,pct_youth,pct_senior,alcohol_per_capita,beer_per_capita,wine_per_capita,assault_rate_lag1,assault_rate_lag3
52,Central Australia,2024,5,6,5,41404,17255,24149,20472,20932,2858,2788,2491,2720,3845,4262,3641,3020,2504,2808,2475,2322,2047,1473,913,569,411,257,18,10117,113,2100,18685,8384,21246,11451,225,72339,779,18.814607284320356,0.49999999999999994,-0.8660254037844387,0.416747174186069,0.49444498116124047,0.12585740508163462,0.08750362283837311,1.7471500338131583,0.7951405661288764,0.24751231765046855,15.964641097478506,14.87778958554729
53,Central Australia,2024,6,5,4,41404,17255,24149,20472,20932,2858,2788,2491,2720,3845,4262,3641,3020,2504,2808,2475,2322,2047,1473,913,569,411,257,18,10117,113,2100,18685,8384,21246,11451,225,72339,686,16.568447492995844,1.2246467991473532e-16,-1.0,0.416747174186069,0.49444498116124047,0.12585740508163462,0.08750362283837311,1.7471500338131583,0.7951405661288764,0.24751231765046855,18.814607284320356,16.520142981354457
54,Central Australia,2024,7,6,6,41404,17255,24149,20472,20932,2858,2788,2491,2720,3845,4262,3641,3020,2504,2808,2475,2322,2047,1473,913,569,411,257,37,10850,132,2310,21845,9245,21808,12485,315,79028,862,20.81924451743793,-0.4999999999999997,-0.8660254037844388,0.416747174186069,0.49444498116124047,0.12585740508163462,0.08750362283837311,1.908704472997778,0.8358612694425659,0.26613370688822335,16.568447492995844,15.964641097478506
55,Central Australia,2024,8,5,5,41404,17255,24149,20472,20932,2858,2788,2491,2720,3845,4262,3641,3020,2504,2808,2475,2322,2047,1473,913,569,411,257,37,10850,132,2310,21845,9245,21808,12485,315,79028,1018,24.586996425466136,-0.8660254037844385,-0.5000000000000004,0.416747174186069,0.49444498116124047,0.12585740508163462,0.08750362283837311,1.908704472997778,0.8358612694425659,0.26613370688822335,20.81924451743793,18.814607284320356
56,Central Australia,2024,9,5,5,41404,17255,24149,20472,20932,2858,2788,2491,2720,3845,4262,3641,3020,2504,2808,2475,2322,2047,1473,913,569,411,257,37,10850,132,2310,21845,9245,21808,12485,315,79028,946,22.848034006376196,-1.0,-1.8369701987210297e-16,0.416747174186069,0.49444498116124047,0.12585740508163462,0.08750362283837311,1.908704472997778,0.8358612694425659,0.26613370688822335,24.586996425466136,16.568447492995844
57,Central Australia,2024,10,6,5,41404,17255,24149,20472,20932,2858,2788,2491,2720,3845,4262,3641,3020,2504,2808,2475,2322,2047,1473,913,569,411,257,32,8872,54,2288,20434,8787,19934,11753,289,72443,794,19.17689112163076,-0.8660254037844386,0.5000000000000001,0.416747174186069,0.49444498116124047,0.12585740508163462,0.08750362283837311,1.7496618684185103,0.7722925321225003,0.21635590764177373,22.848034006376196,20.81924451743793
58,Central Australia,2024,11,6,5,41404,17255,24149,20472,20932,2858,2788,2491,2720,3845,4262,3641,3020,2504,2808,2475,2322,2047,1473,913,569,411,257,32,8872,54,2288,20434,8787,19934,11753,289,72443,1060,25.601391169935273,-0.5000000000000004,0.8660254037844384,0.416747174186069,0.49444498116124047,0.12585740508163462,0.08750362283837311,1.7496618684185103,0.7722925321225003,0.21635590764177373,19.17689112163076,24.586996425466136
59,Central Australia,2024,12,6,6,41404,17255,24149,20472,20932,2858,2788,2491,2720,3845,4262,3641,3020,2504,2808,2475,2322,2047,1473,913,569,411,257,32,8872,54,2288,20434,8787,19934,11753,289,72443,991,23.93488551830741,-2.4492935982947064e-16,1.0,0.416747174186069,0.49444498116124047,0.12585740508163462,0.08750362283837311,1.7496618684185103,0.7722925321225003,0.21635590764177373,25.601391169935273,22.848034006376196
60,Central Australia,2025,1,6,6,41956,17474,24482,20816,21140,2865,2832,2557,2719,3837,4274,3771,3119,2551,2793,2429,2381,2061,1495,932,623,429,288,34,6822,49,1694,14471,6207,16664,9297,295,55533,659,15.706931070645437,0.49999999999999994,0.8660254037844387,0.4164839355515302,0.49613881208885496,0.1257507865382782,0.0897845361807608,1.3236009152445418,0.6257984555248356,0.16457717608923633,23.93488551830741,19.17689112163076
61,Central Australia,2025,2,5,5,41956,17474,24482,20816,21140,2865,2832,2557,2719,3837,4274,3771,3119,2551,2793,2429,2381,2061,1495,932,623,429,288,34,6822,49,1694,14471,6207,16664,9297,295,55533,611,14.562875393269138,0.8660254037844386,0.5000000000000001,0.4164839355515302,0.49613881208885496,0.1257507865382782,0.0897845361807608,1.3236009152445418,0.6257984555248356,0.16457717608923633,15.706931070645437,25.601391169935273
